alpha,P_reflect_C,P_transmit_C,P_convert_total_D,P_convert_forward_D,P_two_wall_forward_echo,flux_sum
1.000000000e-04,9.999999800e-17,9.999999800e-01,1.999999960e-08,9.999999800e-09,9.999999600e-17,1.000000000e+00
1.000000000e-03,9.999980000e-13,9.999980000e-01,1.999996000e-06,9.999980000e-07,9.999960000e-13,1.000000000e+00
1.000000000e-02,9.998000300e-09,9.998000300e-01,1.999600060e-04,9.998000300e-05,9.996001000e-09,1.000000000e+00
1.000000000e-01,9.802960494e-05,9.802960494e-01,1.960592099e-02,9.802960494e-03,9.609803445e-05,1.000000000e+00
3.000000000e-01,6.817607945e-03,8.416799933e-01,1.515023988e-01,7.575119939e-02,5.738244210e-03,1.000000000e+00
1.000000000e+00,2.500000000e-01,2.500000000e-01,5.000000000e-01,2.500000000e-01,6.250000000e-02,1.000000000e+00
3.000000000e+00,8.100000000e-01,1.000000000e-02,1.800000000e-01,9.000000000e-02,8.100000000e-03,1.000000000e+00
1.000000000e+01,9.802960494e-01,9.802960494e-05,1.960592099e-02,9.802960494e-03,9.609803445e-05,1.000000000e+00
