profile,D_over_C,alpha_integrated,zeta_omega_Lw_over_C,P_C_reflect,P_D_reflect_left,P_C_transmit,P_D_transmit_forward,P_D_total,two_wall_forward_echo,delta_wall_forward_P,forward_over_delta,born_forward_over_delta,born_backward_over_delta,flux_sum,flux_error
square,1.000000000e+00,1.000000000e+00,3.000000000e-01,2.489447592e-01,2.426002573e-01,2.509449811e-01,2.575100024e-01,5.001102597e-01,6.631140132e-02,2.500000000e-01,1.030040009e+00,1.000000000e+00,9.703576949e-01,1.000000000e+00,4.440892099e-16
square,1.000000000e+00,1.000000000e+00,1.000000000e+00,2.325904127e-01,1.799900154e-01,2.544381896e-01,3.329813823e-01,5.129713977e-01,1.108766010e-01,2.500000000e-01,1.331925529e+00,1.000000000e+00,7.080734183e-01,1.000000000e+00,4.440892099e-16
square,1.000000000e+00,1.000000000e+00,3.000000000e+00,4.448932403e-02,9.251873433e-02,1.871305501e-01,6.758613915e-01,7.683801258e-01,4.567886205e-01,2.500000000e-01,2.703445566e+00,1.000000000e+00,2.212761853e-03,1.000000000e+00,2.220446049e-16
square,1.000000000e+00,1.000000000e+00,1.000000000e+01,1.725713152e-03,3.731376884e-03,2.845188754e-01,7.100240345e-01,7.137554114e-01,5.041341296e-01,2.500000000e-01,2.840096138e+00,1.000000000e+00,2.959589691e-03,1.000000000e+00,1.110223025e-16
square,1.000000000e+00,1.000000000e+00,3.000000000e+01,2.347730506e-04,1.083881519e-04,2.915440447e-01,7.081127941e-01,7.082211823e-01,5.014237292e-01,2.500000000e-01,2.832451176e+00,1.000000000e+00,1.084673878e-03,1.000000000e+00,1.332267630e-15
square,1.200000000e+00,1.000000000e-02,1.000000000e-03,9.997998248e-09,9.997997500e-05,9.998000300e-01,9.998000277e-05,1.999599778e-04,9.996000955e-09,9.998000300e-05,9.999999977e-01,9.999999977e-01,9.999997199e-01,1.000000000e+00,2.220446049e-16
square,1.200000000e+00,1.000000000e-02,1.000000000e-02,9.997795145e-09,9.997720300e-05,9.998000328e-01,9.997998047e-05,1.999571835e-04,9.995996495e-09,9.998000300e-05,9.999997747e-01,9.999997685e-01,9.999719911e-01,1.000000000e+00,0.000000000e+00
square,1.200000000e+00,1.000000000e-02,1.000000000e-01,9.977503499e-09,9.970031363e-05,9.998003120e-01,9.997775014e-05,1.996780638e-04,9.995550524e-09,9.998000300e-05,9.999774669e-01,9.999768521e-01,9.972022103e-01,1.000000000e+00,6.661338148e-16
square,1.200000000e+00,1.000000000e-02,3.000000000e-01,9.814885382e-09,9.748524458e-05,9.998025452e-01,9.995972331e-05,1.974449679e-04,9.991946284e-09,9.998000300e-05,9.997971625e-01,9.997916840e-01,9.750444823e-01,1.000000000e+00,1.110223025e-16
square,1.200000000e+00,1.000000000e-02,1.000000000e+00,8.126129640e-09,7.493468518e-05,9.998253030e-01,9.975421073e-05,1.746888959e-04,9.950902558e-09,9.998000300e-05,9.977416257e-01,9.976873275e-01,7.494732652e-01,1.000000000e+00,2.220446049e-16
square,1.200000000e+00,1.000000000e-02,3.000000000e+00,1.411610440e-09,1.926340710e-06,9.999001392e-01,9.793304252e-05,9.985938323e-05,9.590880818e-09,9.998000300e-05,9.795263011e-01,9.793395049e-01,1.926150253e-02,1.000000000e+00,2.220446049e-16
square,1.200000000e+00,1.000000000e-02,1.000000000e+01,8.311015927e-11,7.753489779e-08,9.999210329e-01,7.888951008e-05,7.896704498e-05,6.223554801e-09,9.998000300e-05,7.890528877e-01,7.889209546e-01,7.753989140e-04,1.000000000e+00,2.220446049e-16
